xa_id,ten_day_du,loai,stt_nq,lat,lon,ffpi,sz_lat,sz_lon,sz_ten,so_diem_do,trang_thai,hop_thanh_tu,nguon_toa_do,do_tin_cay
bung_lao,Xã Búng Lao,xa,28,21.5463,103.2891,,,,chưa tìm được — hỏi cán bộ xã,3,active,Ẳng Tở + Chiềng Đông + Búng Lao,OSM:ten_moi,OSM tên mới — nên kiểm lại
muong_lan,Xã Mường Lạn,xa,29,21.4515,103.3177,,,,chưa tìm được — hỏi cán bộ xã,3,active,Nặm Lịch + Xuân Lao + Mường Lạn,OSM:ten_moi,OSM tên mới — nên kiểm lại
muong_phang,Xã Mường Phăng,xa,30,21.4487,103.1350,,,,chưa tìm được — hỏi cán bộ xã,3,active,Nà Nhạn + Pá Khoang + Mường Phăng,OSM:ten_moi,OSM tên mới — nên kiểm lại
thanh_nua,Xã Thanh Nưa,xa,31,21.4215,102.9734,,21.4162,103.0082,Trường Tiểu học - Trung học cơ sở Thanh Trường,5,active,Hua Thanh + Thanh Luông + Thanh Hưng + Thanh Chăn + Thanh Nưa,OSM:ten_moi,OSM tên mới — nên kiểm lại
thanh_an,Xã Thanh An,xa,32,21.3018,103.0465,,,,chưa tìm được — hỏi cán bộ xã,3,active,Noong Hẹt + Sam Mứn + Thanh An,OSM:ten_moi,OSM tên mới — nên kiểm lại
thanh_yen,Xã Thanh Yên,xa,33,21.3061,102.9473,,,,chưa tìm được — hỏi cán bộ xã,3,active,Noong Luống + Pa Thơm + Thanh Yên,OSM:ten_moi,OSM tên mới — nên kiểm lại
sam_mun,Xã Sam Mứn,xa,34,21.2072,102.9487,,21.2552,102.9916,Huyện Điện Biên,2,active,Pom Lót + Na Ư,OSM:ten_moi,OSM tên mới — nên kiểm lại
nua_ngam,Xã Núa Ngam,xa,35,21.1793,103.0526,,,,chưa tìm được — hỏi cán bộ xã,3,active,Hẹ Muông + Na Tông + Núa Ngam,OSM:ten_moi,OSM tên mới — nên kiểm lại
muong_nha,Xã Mường Nhà,xa,36,21.1270,103.1005,,,,chưa tìm được — hỏi cán bộ xã,3,active,Mường Lói + Phu Luông + Mường Nhà,OSM:ten_moi,OSM tên mới — nên kiểm lại
na_son,Xã Na Son,xa,37,21.2967,103.2201,,21.2340,103.2630,Huyện Điện Biên Đông,3,active,TT Điện Biên Đông + Keo Lôm + Na Son,OSM:ten_moi,OSM tên mới — nên kiểm lại
xa_dung,Xã Xa Dung,xa,38,21.3183,103.2996,,,,chưa tìm được — hỏi cán bộ xã,2,active,Phì Nhừ + Xa Dung,OSM:ten_moi,OSM tên mới — nên kiểm lại
pu_nhi,Xã Pu Nhi,xa,39,21.3457,103.1345,,21.4904,103.1046,Thành phố Điện Biên Phủ,2,active,Nong U + Pu Nhi,OSM:ten_moi,OSM tên mới — nên kiểm lại
muong_luan,Xã Mường Luân,xa,40,21.2469,103.3802,,,,chưa tìm được — hỏi cán bộ xã,3,active,Chiềng Sơ + Luân Giói + Mường Luân,OSM:ten_moi,OSM tên mới — nên kiểm lại
tia_dinh,Xã Tìa Dình,xa,41,21.1415,103.3380,,,,chưa tìm được — hỏi cán bộ xã,2,active,Háng Lìa + Tìa Dình,OSM:ten_moi,OSM tên mới — nên kiểm lại
phinh_giang,Xã Phình Giàng,xa,42,21.1252,103.2245,,,,chưa tìm được — hỏi cán bộ xã,2,active,Pú Hồng + Phình Giàng,OSM:ten_moi,OSM tên mới — nên kiểm lại
muong_lay,Phường Mường Lay,phuong,43,22.0312,103.1275,,22.0225,103.1506,Trường Trung học phổ thông Mường Lay,4,active,P. Sông Đà + P. Na Lay + Lay Nưa + Sá Tổng,OSM:ten_moi,OSM tên mới — nên kiểm lại
dien_bien_phu,Phường Điện Biên Phủ,phuong,44,21.4904,103.1046,,21.3866,103.0232,Trường Tiểu học Hà Nội - Điện Biên Phủ,6,active,P. Him Lam + P. Tân Thanh + P. Mường Thanh + P. Thanh Bình + P. Thanh Trường + Thanh Minh,OSM:ten_moi,OSM tên mới — nên kiểm lại
muong_thanh,Phường Mường Thanh,phuong,45,21.3873,103.0169,,21.3866,103.0232,Trường Tiểu học Hà Nội - Điện Biên Phủ,3,active,P. Noong Bua + P. Nam Thanh + Thanh Xương,OSM:ten_moi,OSM tên mới — nên kiểm lại
